X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8365956.28823798,4876263.86723133,3329,2215486N,Bus,22,Northbound,15486,Cheltenham Av & Tulpehocken St,40.070991,-75.152664,Fall 2023,7,18,9,8,5,5
-8367165.66318596,4877148.93787906,3330,2216931N,Bus,22,Northbound,16931,Cheltenham Av & Vernon Rd - FS,40.077075,-75.163528,Fall 2023,8,14,9,8,6,14
-8365858.54972507,4876189.53304267,3331,2217344N,Bus,22,Northbound,17344,Cheltenham Av & Williams Way,40.07048,-75.151786,Fall 2023,20,22,14,6,6,11
-8367744.85849656,4878266.73623753,3332,226936N,Bus,22,Northbound,6936,Easton Rd & 309 - MBNS,40.084758,-75.168731,Fall 2023,10,23,5,8,5,9
-8363575.60960788,4884372.26082475,3333,2215564N,Bus,22,Northbound,15564,Easton Rd & Arlington Av,40.126708,-75.131278,Fall 2023,1,4,1,4,0,4
-8364261.89426862,4882947.93238321,3334,2215555N,Bus,22,Northbound,15555,Easton Rd & Bradfield Rd - FS,40.116924,-75.137443,Fall 2023,6,14,6,11,1,11
-8364552.3268201,4882560.29547783,3335,2228395N,Bus,22,Northbound,28395,Easton Rd & Castlewood Rd,40.114261,-75.140052,Fall 2023,0,11,0,8,0,2
-8364631.36365856,4882459.27656215,3336,2215551N,Bus,22,Northbound,15551,Easton Rd & Charles St,40.113567,-75.140762,Fall 2023,1,4,0,2,0,0
-8364925.24711425,4882067.29217324,3337,2215549N,Bus,22,Northbound,15549,Easton Rd & Cross Rd,40.110874,-75.143402,Fall 2023,2,5,2,2,2,3
-8362268.60746647,4886120.19660554,3338,2232295N,Bus,22,Northbound,32295,Easton Rd & Davisville Rd,40.138713,-75.119537,Fall 2023,0,2,1,3,1,2
-8363738.69266189,4883932.4498845,3339,2215562N,Bus,22,Northbound,15562,Easton Rd & East Av,40.123687,-75.132743,Fall 2023,4,3,2,4,0,0
-8364162.48596334,4883076.1776002,3340,22446N,Bus,22,Northbound,446,Easton Rd & Edgehill Rd,40.117805,-75.13655,Fall 2023,0,4,1,1,0,5
-8365792.31462804,4880929.56278251,3341,2215543N,Bus,22,Northbound,15543,Easton Rd & Fairhill Av,40.103057,-75.151191,Fall 2023,1,4,2,2,1,2
-8366055.58522377,4880547.09849793,3342,221052N,Bus,22,Northbound,1052,Easton Rd & Glenside Av,40.100429,-75.153556,Fall 2023,29,23,12,5,15,6
-8362947.21108235,4885219.90923821,3343,2215569N,Bus,22,Northbound,15569,Easton Rd & Hamilton Av,40.13253,-75.125633,Fall 2023,0,11,1,8,1,3
-8364402.04550753,4882761.89970958,3344,2215553N,Bus,22,Northbound,15553,Easton Rd & Hilldale Rd - FS,40.115646,-75.138702,Fall 2023,4,10,3,4,0,0
-8365111.15066388,4881823.49240776,3345,2215547N,Bus,22,Northbound,15547,Easton Rd & Jenkintown Rd,40.109199,-75.145072,Fall 2023,3,6,0,10,3,4
-8363695.38937997,4884204.10835607,3346,2215563N,Bus,22,Northbound,15563,Easton Rd & Kenderton Av,40.125553,-75.132354,Fall 2023,2,3,0,2,1,2
-8365419.50565338,4881423.23715553,3347,22444N,Bus,22,Northbound,444,Easton Rd & Keswick Av,40.106449,-75.147842,Fall 2023,9,16,6,13,5,5
-8362815.52012474,4885396.52393068,3348,2215570N,Bus,22,Northbound,15570,Easton Rd & Lammott Av,40.133743,-75.12445,Fall 2023,0,6,0,7,0,5
-8366994.89908708,4879302.00888427,3349,2217446N,Bus,22,Northbound,17446,Easton Rd & Limeklin Pk,40.091873,-75.161994,Fall 2023,7,36,4,12,3,5
-8363725.11168401,4883734.75242632,3350,2215561N,Bus,22,Northbound,15561,Easton Rd & Mildred Av,40.122329,-75.132621,Fall 2023,1,5,1,4,0,1
