X,Y,FID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WK_Ons,WK_Offs,Sat_Ons,Sat_Offs,Sun_Ons,Sun_Offs
-8367794.95226741,4867865.8854123,11575,Bus,81,Northbound,1346,Wissahickon Av & Roberts Av - MBNS,40.013236,-75.169181,Fall 2025,5,9,5,4,0,2
-8385919.88043888,4887561.29284247,11576,Bus,90,Eastbound,31467,Germantown Pk & Scenic Rd,40.148609,-75.332,Fall 2025,1,0,0,0,0,0
-8382622.04052413,4880449.44731327,11577,Bus,95,Northbound,1675,Ridge Pk & Alan Wood Rd,40.099758,-75.302375,Fall 2025,0,1,0,1,0,0
-8367862.96847629,4868147.56889886,11578,Bus,81,Northbound,1347,Wissahickon Av & Roberts Av,40.015174,-75.169792,Fall 2025,8,11,5,4,4,6
-8386213.76389458,4887628.43067699,11579,Bus,90,Eastbound,31468,Germantown Pk & North Wales Rd,40.14907,-75.33464,Fall 2025,0,0,0,0,0,0
-8373882.79257992,4888298.52327577,11580,Bus,95,Northbound,1687,Butler Av & Main St,40.153671,-75.223869,Fall 2025,1,4,0,2,0,0
-8368625.61830771,4870921.95363231,11581,Bus,81,Northbound,1348,Greene St & Chelten Av - FS,40.034259,-75.176643,Fall 2025,186,195,103,94,71,66
-8385491.85699678,4887392.9405368,11582,Bus,90,Eastbound,31469,Germantown Pk & Stanbridge St,40.147453,-75.328155,Fall 2025,0,1,0,0,0,0
-8368251.91877712,4873291.07995764,11583,Bus,81,Northbound,1349,Washington Ln & Chew Av,40.050552,-75.173286,Fall 2025,68,83,37,40,28,32
-8372551.96806748,4885936.43406362,11584,Bus,95,Northbound,1688,Pennsylvania Av & Fort Wash Av,40.137451,-75.211914,Fall 2025,0,0,0,0,0,0
-8381580.86932674,4880615.3530274,11585,Bus,95,Northbound,5909,Chemical Rd & Gallagher Rd - FS,40.100898,-75.293022,Fall 2025,0,0,1,0,0,0
-8386245.15599098,4887616.77982704,11586,Bus,90,Eastbound,31470,Germantown Pk & Barley Sheaf Dr,40.14899,-75.334922,Fall 2025,0,0,0,0,0,0
-8383274.37274018,4876434.79434038,11587,Bus,95,Northbound,15178,Stoddard Av & Fayette St - FS,40.072166,-75.308235,Fall 2025,5,10,4,3,0,0
-8365473.05032845,4875872.70981923,11588,Bus,81,Northbound,1350,Andrews Av & Cheltenham Av,40.068302,-75.148323,Fall 2025,8,15,2,9,3,10
-8385911.42015759,4887540.17583036,11589,Bus,90,Eastbound,31471,Germantown Pk & Scenic Rd - FS,40.148464,-75.331924,Fall 2025,0,0,0,0,0,0
-8380923.52773361,4879663.90694321,11590,Bus,95,Northbound,19045,Ridge Pk & Butler Pk - FS,40.09436,-75.287117,Fall 2025,1,3,1,3,0,0
-8368858.27604347,4871801.60364346,11591,Bus,81,Northbound,14059,Walnut Ln & Germantown Av,40.040309,-75.178733,Fall 2025,94,35,42,14,34,11
-8384732.54675008,4887151.77648175,11592,Bus,90,Eastbound,31472,Germantown Pk & Hillcrest Av - FS,40.145797,-75.321334,Fall 2025,0,0,0,0,0,0
-8381407.54487958,4879762.71454183,11593,Bus,95,Northbound,19046,Ridge Pk & Lynda Rd,40.095039,-75.291465,Fall 2025,1,0,0,0,0,0
-8365596.9489217,4875999.11787051,11594,Bus,81,Northbound,15482,Cheltenham Av & Massey Way,40.069171,-75.149436,Fall 2025,0,12,3,7,4,4
-8387187.03020258,4888418.53595882,11595,Bus,90,Eastbound,31473,Einstein Medical Ctr - north entrance,40.154495,-75.343383,Fall 2025,1,3,0,1,0,0
-8382543.11500516,4880562.08825833,11596,Bus,95,Northbound,21218,Alan Wood Rd & Ridge Pk - MBFS,40.100532,-75.301666,Fall 2025,3,0,2,1,0,0
-8365956.28823798,4876263.86723133,11597,Bus,81,Northbound,15486,Cheltenham Av & Tulpehocken St,40.070991,-75.152664,Fall 2025,3,4,0,1,2,2
-8384093.01627548,4886829.65105751,11598,Bus,90,Eastbound,31664,Germantown Av & Mill St,40.143585,-75.315589,Fall 2025,0,1,2,0,0,0
-8381196.14916656,4879719.93174925,11599,Bus,95,Northbound,24009,Ridge Pk & Little Av - MBNS,40.094745,-75.289566,Fall 2025,2,2,1,1,0,0
-8366334.99714566,4876545.789438,11600,Bus,81,Northbound,15489,Cheltenham Av & 79th Av - FS,40.072929,-75.156066,Fall 2025,12,56,12,61,6,38
-8380580.3297435,4882987.38107552,11601,Bus,90,Westbound,246,Plymouth Meeting Mall,40.117195,-75.284034,Fall 2025,26,0,25,0,0,0
-8373787.61441529,4888346.2951402,11602,Bus,95,Northbound,27122,Butler Av & Spring Garden St,40.153999,-75.223014,Fall 2025,2,1,1,4,0,0
-8366392.77196138,4868059.48744445,11603,Bus,81,Northbound,16414,18th St & Hunting Park Av,40.014568,-75.156585,Fall 2025,2,1,0,0,0,0
-8383887.52049547,4886942.36463777,11604,Bus,90,Westbound,1633,East Norriton Crossing Shp Cntr,40.144359,-75.313743,Fall 2025,9,8,9,4,0,0
-8373627.09170956,4888431.78987597,11605,Bus,95,Northbound,27123,Butler Av & Ridge Av,40.154586,-75.221572,Fall 2025,3,3,0,3,0,0
-8365858.54972507,4876189.53304267,11606,Bus,81,Northbound,17344,Cheltenham Av & Williams Way,40.07048,-75.151786,Fall 2025,1,5,2,4,1,1
-8387346.77367187,4882442.10053782,11607,Bus,90,Westbound,1649,Norristown Transit Center,40.113449,-75.344818,Fall 2025,0,41,0,29,0,0
-8373393.54341788,4888579.62323265,11608,Bus,95,Northbound,27124,Butler Av & Lindenwold Av,40.155601,-75.219474,Fall 2025,4,3,4,3,0,0
-8365966.41831164,4867322.01763744,11609,Bus,81,Northbound,18208,Erie Av & 15th St,40.009494,-75.152755,Fall 2025,60,0,24,0,13,0
-8372812.67831492,4888549.61943672,11610,Bus,95,Northbound,27126,Lindenwold Av & Bethlehem Pk,40.155395,-75.214256,Fall 2025,1,2,1,0,0,0
-8385995.46637313,4885516.50141431,11611,Bus,90,Westbound,1671,Swede St & Johnson Hwy,40.134567,-75.332679,Fall 2025,3,0,1,2,0,0
-8366140.52199524,4867350.35848739,11612,Bus,81,Northbound,18211,Erie Av & 16th St,40.009689,-75.154319,Fall 2025,28,4,13,0,14,0
-8372690.33819454,4888049.03554985,11613,Bus,95,Northbound,27128,Bethlehem Pk & Church St - FS,40.151958,-75.213157,Fall 2025,0,1,0,0,0,0
-8387230.3334845,4884114.13703965,11614,Bus,90,Westbound,1672,Harding Blvd & James St,40.124935,-75.343772,Fall 2025,1,0,0,0,0,0
-8366312.95588648,4867381.31550832,11615,Bus,81,Northbound,18212,Erie Av & 17th St,40.009902,-75.155868,Fall 2025,29,4,10,2,17,0
