X,Y,FID,GIS_DB_ID,Mode,Source,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,WKDY_ONS,WKDY_OFFS,SAT_ONS,SAT_OFFS,SUN_ONS,SUN_OFFS
-8367105.32802195,4855753.0674574,10057,2924218W,Bus,Infodev,29,Westbound,24218,Tasker St & 11th St,39.929847,-75.162986,Fall 2022,34,32,8,21,10,11
-8367684.63465204,4855850.04031392,10058,29546W,Bus,Infodev,29,Westbound,546,Tasker St & Broad St,39.930515,-75.16819,Fall 2022,356,219,129,107,90,76
-8368401.42085326,4855972.41908685,10059,2924224W,Bus,Infodev,29,Westbound,24224,Tasker St & 18th St,39.931358,-75.174629,Fall 2022,11,19,5,17,1,12
-8368966.14463005,4856067.07131854,10060,2924227W,Bus,Infodev,29,Westbound,24227,Tasker St & 21st St,39.93201,-75.179702,Fall 2022,8,33,2,16,8,13
-8364732.4417562,4855094.75130143,10061,29101W,Bus,Infodev,29,Westbound,101,Pier 70 WalMart & Home Depot,39.925312,-75.14167,Fall 2022,211,0,212,0,151,0
-8365500.2122842,4855476.23548249,10062,2924210W,Bus,Infodev,29,Westbound,24210,Tasker St & 2nd St,39.92794,-75.148567,Fall 2022,39,0,5,1,3,0
-8365723.51918273,4855515.57505708,10063,2924211W,Bus,Infodev,29,Westbound,24211,Tasker St & Moyamensing Av,39.928211,-75.150573,Fall 2022,51,3,14,3,11,4
-8366059.03612798,4855572.62497514,10064,2924213W,Bus,Infodev,29,Westbound,24213,Tasker St & 5th St,39.928604,-75.153587,Fall 2022,30,15,18,8,17,6
-8367278.65246911,4855782.39148485,10065,2924219W,Bus,Infodev,29,Westbound,24219,Tasker St & 12th St,39.930049,-75.164543,Fall 2022,22,11,18,2,6,2
-8368056.55307078,4855913.18931459,10066,2924222W,Bus,Infodev,29,Westbound,24222,Tasker St & 16th St,39.93095,-75.171531,Fall 2022,17,24,10,13,5,9
-8368578.08488514,4856001.74376162,10067,2924225W,Bus,Infodev,29,Westbound,24225,Tasker St & 19th St,39.93156,-75.176216,Fall 2022,35,30,13,19,10,12
-8371125.96539042,4856428.12269606,10068,2920428W,Bus,Infodev,29,Westbound,20428,Tasker St & 33rd St,39.934497,-75.199104,Fall 2022,136,330,4,115,2,85
-8366579.67738642,4855663.35389094,10069,2924215W,Bus,Infodev,29,Westbound,24215,Tasker St & 8th St,39.929229,-75.158264,Fall 2022,65,9,23,15,9,5
-8367879.10980246,4855885.46177292,10070,2924221W,Bus,Infodev,29,Westbound,24221,Tasker St & 15th St,39.930759,-75.169937,Fall 2022,26,31,8,20,5,12
-8371109.82406426,4856578.2379865,10071,29539W,Bus,Infodev,29,Westbound,539,33rd St & Dickinson St Loop,39.935531,-75.198959,Fall 2022,0,45,0,24,0,17
-8365309.96727444,4855441.83162793,10072,29544W,Bus,Infodev,29,Westbound,544,Tasker St & Front St,39.927703,-75.146858,Fall 2022,45,1,38,0,24,0
-8366408.13405111,4855632.86888282,10073,29545W,Bus,Infodev,29,Westbound,545,Tasker St & 7th St,39.929019,-75.156723,Fall 2022,90,28,29,24,25,13
-8369140.24831365,4856099.15456486,10074,29548W,Bus,Infodev,29,Westbound,548,Tasker St & 22nd St,39.932231,-75.181266,Fall 2022,48,347,17,152,12,105
-8369510.60825952,4856158.53061977,10075,2924229W,Bus,Infodev,29,Westbound,24229,Tasker St & 24th St,39.93264,-75.184593,Fall 2022,0,1,0,3,0,0
-8370935.72038066,4856395.45767702,10076,2924237W,Bus,Infodev,29,Westbound,24237,Tasker St & 32nd St,39.934272,-75.197395,Fall 2022,43,175,0,0,0,0
-8369327.93297513,4856128.04409249,10077,2924228W,Bus,Infodev,29,Westbound,24228,Tasker St & 23rd St,39.93243,-75.182952,Fall 2022,0,3,0,0,0,0
-8370590.07336174,4856337.38679721,10078,2924235W,Bus,Infodev,29,Westbound,24235,Tasker St & 30th St,39.933872,-75.19429,Fall 2022,1,3,0,0,0,0
-8370762.39593349,4856367.29325793,10079,2924236W,Bus,Infodev,29,Westbound,24236,Tasker St & 31st St,39.934078,-75.195838,Fall 2022,0,1,0,0,0,0
-8369698.292921,4856190.03346289,10080,2924230W,Bus,Infodev,29,Westbound,24230,Tasker St & 25th St,39.932857,-75.186279,Fall 2022,0,1,3,4,0,0
-8370412.51877393,4856306.89972117,10081,2924234W,Bus,Infodev,29,Westbound,24234,Tasker St & 29th St,39.933662,-75.192695,Fall 2022,0,0,0,0,0,0
-8368773.339272,4865967.71005884,10082,322885S,Bus,Infodev,32,Southbound,2885,29th St & Cambria St,40.000175,-75.17797,Fall 2022,9,7,7,4,2,2
-8369022.24965341,4865560.2477422,10083,3216542S,Bus,Infodev,32,Southbound,16542,Chalmers Av & Lehigh Av,39.997371,-75.180206,Fall 2022,18,42,5,12,7,8
-8369642.18789764,4865196.1033532,10084,3216547S,Bus,Infodev,32,Southbound,16547,33rd St & Cumberland St,39.994865,-75.185775,Fall 2022,26,8,7,4,5,2
-8369677.92145418,4864981.05228839,10085,3216548S,Bus,Infodev,32,Southbound,16548,33rd St & York St,39.993385,-75.186096,Fall 2022,17,16,14,8,10,4
-8369949.65233121,4862353.0106812,10086,32582S,Bus,Infodev,32,Southbound,582,33rd St & Girard Av,39.975296,-75.188537,Fall 2022,18,67,14,33,3,22
-8369246.44710787,4862011.64442827,10087,3216557S,Bus,Infodev,32,Southbound,16557,Poplar St & 28th St,39.972946,-75.18222,Fall 2022,14,2,6,4,2,0
-8368966.14463005,4861637.60764873,10088,3216561S,Bus,Infodev,32,Southbound,16561,26th St & Brown St,39.970371,-75.179702,Fall 2022,24,1,14,2,8,2
-8368996.75749002,4861461.41578778,10089,3216562S,Bus,Infodev,32,Southbound,16562,26th St & Aspen St,39.969158,-75.179977,Fall 2022,3,1,3,1,1,0
-8368902.46988132,4861097.85746842,10090,3216564S,Bus,Infodev,32,Southbound,16564,Pennsylvania Av & 25th St,39.966655,-75.17913,Fall 2022,38,16,26,13,18,7
-8367283.6618462,4858431.49210363,10091,3215187S,Bus,Infodev,32,Southbound,15187,Broad St & Locust St,39.948295,-75.164588,Fall 2022,12,30,6,21,5,19
-8367347.44791443,4858053.23408174,10092,3215189S,Bus,Infodev,32,Southbound,15189,Broad St & Pine St,39.94569,-75.165161,Fall 2022,8,23,2,3,1,4
-8367439.17517484,4857505.98338142,10093,3215193S,Bus,Infodev,32,Southbound,15193,Broad St & Fitzwater St,39.941921,-75.165985,Fall 2022,0,17,1,7,0,5
-8367674.39325889,4857127.61540877,10094,322635S,Bus,Infodev,32,Southbound,2635,Carpenter St & 15th St,39.939315,-75.168098,Fall 2022,3,19,5,10,1,7
-8373188.04763788,4870726.841841,10095,3219694S,Bus,Infodev,32,Southbound,19694,Green Ln & Mitchell St,40.032917,-75.217628,Fall 2022,5,0,2,0,0,0
-8372018.5250676,4870386.78657658,10096,3216525S,Bus,Infodev,32,Southbound,16525,Henry Av & Rector St,40.030578,-75.207122,Fall 2022,1,0,0,0,0,0
-8365120.50150111,4871266.97069006,10097,1617317N,Bus,Infodev,16,Northbound,17317,Broad St & Albert Einstein Dr,40.036632,-75.145156,Fall 2022,3,8,0,4,2,4
